# 2025  3  6  6 40 UTC  2025  3  6  7 20 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2025,3,6,0639,50.50,104.84,3.15,0,2,3,27.84,0,4
2,2025,3,6,0639,50.50,104.86,3.15,0,2,3,27.84,0,4
3,2025,3,6,0639,50.48,104.86,3.15,0,2,3,27.84,0,4
4,2025,3,6,0639,50.48,104.88,3.15,0,2,3,27.84,0,4
5,2025,3,6,0639,45.86,122.74,3.45,0,2,3,12.13,0,5
6,2025,3,6,0639,45.86,122.76,3.45,0,2,3,12.13,0,5
7,2025,3,6,0639,45.84,122.76,3.45,0,2,3,12.13,0,5
8,2025,3,6,0639,45.82,122.76,3.45,0,2,3,7.45,0,5
9,2025,3,6,0639,45.82,122.78,3.45,0,2,3,7.45,0,5
10,2025,3,6,0639,45.72,121.84,3.46,0,2,1,1.68,0,11
11,2025,3,6,0639,45.70,121.84,3.46,0,2,1,1.68,0,11
12,2025,3,6,0639,45.70,121.86,3.46,0,2,3,1.68,0,11
13,2025,3,6,0639,45.38,131.78,3.48,0,2,3,8.70,0,13
14,2025,3,6,0639,45.38,131.80,3.48,0,2,3,8.70,0,13
15,2025,3,6,0639,45.36,125.26,3.48,0,3,3,2.84,2,15
16,2025,3,6,0639,45.36,131.80,3.48,0,2,3,8.68,0,13
17,2025,3,6,0639,45.18,126.48,3.49,0,3,3,2.45,0,17
18,2025,3,6,0639,44.42,132.46,3.54,0,2,3,40.04,0,22
19,2025,3,6,0639,44.42,132.48,3.54,0,2,3,40.04,0,22
20,2025,3,6,0639,44.40,132.46,3.54,0,2,3,40.04,0,22
21,2025,3,6,0639,44.40,132.48,3.54,0,2,3,40.04,0,22
22,2025,3,6,0639,44.38,132.48,3.54,0,2,5,68.15,0,22
23,2025,3,6,0639,44.38,132.50,3.54,0,2,5,28.27,0,22
24,2025,3,6,0639,44.36,129.00,3.54,0,2,3,18.48,0,24
25,2025,3,6,0639,44.36,132.48,3.54,0,2,3,15.17,0,22
26,2025,3,6,0639,44.34,129.00,3.54,0,2,3,18.48,0,24
27,2025,3,6,0639,44.34,129.02,3.54,0,2,3,18.48,0,24
28,2025,3,6,0639,44.34,132.48,3.54,0,2,3,15.17,0,22
29,2025,3,6,0639,44.24,125.30,3.55,0,2,5,8.68,0,29
30,2025,3,6,0639,44.24,125.32,3.55,0,2,5,8.68,0,29
31,2025,3,6,0639,44.22,125.32,3.55,0,2,5,8.68,0,29
32,2025,3,6,0639,44.14,132.34,3.56,0,2,5,55.29,0,33
33,2025,3,6,0639,44.14,132.36,3.56,0,2,5,55.29,0,33
34,2025,3,6,0639,44.12,132.36,3.56,0,2,3,9.03,0,33
35,2025,3,6,0639,44.10,132.36,3.56,0,2,3,9.01,0,33
36,2025,3,6,0639,43.92,131.96,3.57,0,2,1,12.17,0,38
37,2025,3,6,0639,43.92,131.98,3.57,0,2,3,19.64,0,38
38,2025,3,6,0639,43.92,132.00,3.57,0,2,3,19.64,0,38
39,2025,3,6,0639,43.90,131.96,3.57,0,2,1,12.15,0,38
40,2025,3,6,0639,43.90,131.98,3.57,0,2,3,19.64,0,38
41,2025,3,6,0639,43.90,132.00,3.57,0,2,3,19.64,0,38
42,2025,3,6,0639,43.88,131.96,3.57,0,2,3,19.62,0,38
43,2025,3,6,0639,43.88,131.98,3.57,0,2,3,19.62,0,38
44,2025,3,6,0639,43.88,132.00,3.57,0,2,3,16.48,0,38
45,2025,3,6,0639,43.88,132.18,3.57,0,2,3,7.20,0,45
46,2025,3,6,0639,43.86,132.18,3.57,0,2,3,7.20,0,45
47,2025,3,6,0639,43.62,123.48,3.59,0,2,3,3.29,0,47
48,2025,3,6,0639,43.52,132.44,3.59,0,3,3,2.15,0,48
49,2025,3,6,0639,43.52,132.46,3.59,0,3,3,2.15,0,48
50,2025,3,6,0639,43.50,132.44,3.60,0,3,1,2.15,0,48
51,2025,3,6,0639,43.50,132.46,3.60,0,3,1,2.15,0,48
52,2025,3,6,0639,43.42,132.40,3.60,0,2,5,9.29,0,52
53,2025,3,6,0639,43.42,132.42,3.60,0,2,5,9.29,0,52
54,2025,3,6,0639,43.34,132.06,3.60,0,2,5,15.98,0,54
55,2025,3,6,0639,43.22,132.60,3.61,0,2,3,4.57,0,60
56,2025,3,6,0639,43.22,132.62,3.61,0,3,3,3.71,0,60
57,2025,3,6,0639,43.20,132.60,3.61,0,2,3,4.56,0,60
58,2025,3,6,0639,43.20,132.62,3.61,0,3,3,3.71,0,60
59,2025,3,6,0639,43.20,132.64,3.61,0,3,3,3.71,0,60
60,2025,3,6,0639,43.18,132.60,3.61,0,2,5,7.31,0,60
61,2025,3,6,0639,43.18,132.62,3.61,0,2,3,5.12,0,60
62,2025,3,6,0639,43.18,132.64,3.61,0,2,3,5.06,0,60
63,2025,3,6,0639,43.08,133.14,3.62,0,2,5,29.00,0,63
64,2025,3,6,0639,43.08,133.16,3.62,0,2,5,13.34,0,63
65,2025,3,6,0639,43.08,133.18,3.62,0,2,5,13.34,0,63
66,2025,3,6,0639,41.46,114.38,3.71,0,3,3,2.21,0,66
67,2025,3,6,0639,41.16,122.66,3.73,0,2,3,2.61,0,67
68,2025,3,6,0639,41.14,122.66,3.73,0,2,3,2.61,0,67
69,2025,3,6,0639,40.66,123.76,3.76,0,2,3,1.23,0,70
70,2025,3,6,0639,40.66,123.78,3.76,0,2,3,1.23,0,70
71,2025,3,6,0639,40.08,126.02,3.79,0,3,1,1.42,0,71
72,2025,3,6,0639,36.96,120.68,3.96,0,3,3,.83,0,72
73,2025,3,6,0639,36.96,120.70,3.96,0,3,3,.83,0,72
74,2025,3,6,0639,36.94,120.70,3.96,0,3,3,.83,0,72
75,2025,3,6,0639,36.88,120.84,3.96,0,2,3,1.33,0,75
76,2025,3,6,0639,36.86,120.84,3.97,0,2,3,1.33,0,75
77,2025,3,6,0639,36.36,114.92,3.99,0,3,1,.93,0,77
78,2025,3,6,0639,36.36,116.30,3.99,0,3,3,1.22,0,78
79,2025,3,6,0639,35.08,115.56,4.06,0,3,3,2.83,0,79
80,2025,3,6,0639,35.08,115.58,4.06,0,3,3,2.83,0,79
81,2025,3,6,0639,35.06,115.58,4.06,0,3,3,2.83,0,79
82,2025,3,6,0639,35.02,115.20,4.06,0,3,3,.98,0,82
83,2025,3,6,0639,34.96,115.92,4.06,0,3,3,1.76,0,84
84,2025,3,6,0639,34.96,115.94,4.06,0,3,3,1.76,0,84
85,2025,3,6,0639,34.82,115.56,4.07,0,3,3,1.36,0,85
86,2025,3,6,0639,34.80,116.06,4.07,0,3,1,1.78,0,86
87,2025,3,6,0639,34.80,116.08,4.07,0,3,3,1.13,0,86
